City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
Makakilo City,US,21.35,-158.09,82.4,61,1,6.93,1595534474
Kasongo-Lunda,CD,-6.47,16.82,76.21,26,0,1.74,1595534667
Hamilton,US,39.18,-84.53,87.01,74,75,8.05,1595534125
Mnogovershinnyy,RU,53.94,139.92,46.8,89,4,0.29,1595534667
Richards Bay,ZA,-28.78,32.04,61.72,76,0,7.63,1595534667
Gannan,CN,47.91,123.5,68.61,70,68,3.06,1595534667
Pisco,PE,-13.7,-76.22,71.01,64,0,8.05,1595534299
Phan Thiet,VN,10.93,108.1,76.73,83,100,3.49,1595534668
Andra,RU,62.51,65.89,55.29,69,100,6.85,1595534668
Aksu,CN,41.12,80.26,76.48,31,59,3.85,1595534668
Oxbow,CA,49.23,-102.17,82.4,74,75,9.17,1595534669
Champerico,GT,14.3,-91.92,87.8,66,40,6.93,1595534669
Tiznit Province,MA,29.58,-9.5,82.72,38,0,1.81,1595534669
Sabalgarh,IN,26.25,77.4,83.71,66,89,3.85,1595534669
Grand-Lahou,CI,5.14,-5.02,74.21,91,1,8.41,1595534670
Chambersburg,US,39.94,-77.66,89.01,67,100,4.0,1595534670
Wattegama,LK,6.8,81.48,77.94,77,82,8.12,1595534670
Guerrero Negro,MX,27.98,-114.06,74.39,55,3,15.3,1595534670
Yashan,CN,22.2,109.94,77.77,89,57,2.71,1595534671
Muroto-misakicho,JP,33.28,134.15,79.16,86,100,7.45,1595534671
Leh,IN,34.17,77.58,60.31,29,0,4.36,1595534671
Coahuayana Viejo,MX,18.73,-103.68,80.6,74,75,6.31,1595534672
Ondjiva,AO,-17.07,15.73,59.32,33,0,8.05,1595534672
Digby,CA,44.62,-65.77,73.99,86,93,5.99,1595534672
Bānapur,IN,19.78,85.18,80.87,77,75,3.69,1595534672
Samarai,PG,-10.62,150.67,77.61,84,77,11.25,1595534673
Hong Kong,HK,22.29,114.16,86.0,79,94,6.64,1595534653
Oddur,SO,4.12,43.89,72.64,64,90,23.24,1595534673
Lavrentiya,RU,65.58,-171.0,56.41,52,96,9.6,1595534673
Nhamundá,BR,-2.19,-56.71,93.4,44,21,4.0,1595534674
Tual,ID,-5.67,132.75,78.82,83,0,19.64,1595534674
Gizo Government Station,SB,-8.1,156.84,81.99,75,63,7.56,1595534674
Provideniya,RU,64.38,-173.3,48.2,76,90,4.47,1595534557
Morón,AR,-34.65,-58.62,54.0,98,100,4.0,1595534564
Rawson,AR,-43.3,-65.1,40.66,71,88,11.39,1595534675
Kabompo,ZM,-13.59,24.2,56.26,47,0,5.7,1595534675
Bone,DE,51.97,12.14,66.99,58,0,2.55,1595534675
Loei,TH,17.42,101.5,65.5,100,79,2.1,1595534675
Reconquista,AR,-29.15,-59.65,50.47,90,100,13.89,1595534590
Gayny,RU,60.31,54.32,58.73,87,58,5.28,1595534676
Sittwe,MM,20.15,92.9,81.12,84,100,7.47,1595534676
Whitehorse,CA,60.72,-135.05,52.0,93,90,5.82,1595534424
Inhambane,MZ,-23.86,35.38,64.76,77,2,11.77,1595534676
Jalu,LY,29.03,21.55,81.16,45,0,20.74,1595534570
Seymchan,RU,62.88,152.43,70.16,37,89,2.77,1595534677
Tamworth,GB,52.63,-1.7,64.99,82,40,5.82,1595534677
Almaty,KZ,43.25,76.95,66.2,55,20,4.47,1595534539
Zhezkazgan,KZ,47.8,67.71,76.05,29,0,7.02,1595534677
San Rafael,AR,-34.62,-68.33,44.62,54,0,6.98,1595534387
Borogontsy,RU,62.67,131.17,59.41,79,0,4.79,1595534678
Katobu,ID,-4.94,122.53,70.65,91,47,3.04,1595534678
Sept-Îles,CA,50.2,-66.38,69.8,64,75,8.05,1595534551
Porto Murtinho,BR,-21.7,-57.88,93.02,20,0,9.46,1595534678
Mariehamn,AX,60.1,19.93,55.4,71,100,2.24,1595534679
Abakaliki,NG,6.32,8.12,77.0,88,40,4.7,1595534679
Saint-Joseph,RE,-21.37,55.62,66.2,68,40,19.46,1595534679
Corsicana,US,32.1,-96.47,93.2,44,1,8.05,1595534679
Astoria,US,46.19,-123.83,63.0,82,90,8.05,1595534680
Kangaba,ML,11.93,-8.42,80.53,73,39,3.4,1595534680
Ţalkhā,EG,31.05,31.38,72.0,93,0,6.22,1595534680
Rapid Valley,US,44.06,-103.15,98.01,26,1,16.11,1595534680
Te Anau,NZ,-45.42,167.72,34.36,88,61,2.55,1595534680
Petra,JO,30.32,35.48,69.3,60,0,3.96,1595534681
Montague,US,42.54,-72.54,77.0,93,100,6.44,1595534681
Atasū,KZ,48.68,71.64,72.39,53,100,12.95,1595534681
Mehamn,NO,71.04,27.85,50.0,100,90,1.12,1595534681
Morgan City,US,29.7,-91.21,89.6,70,40,17.22,1595534682
Columbus,US,39.96,-83.0,82.4,69,90,11.05,1595534598
Ileza,RU,61.05,43.9,56.28,99,100,3.47,1595534682
Mandera,KE,3.94,41.87,82.71,45,70,22.21,1595534682
Morondava,MG,-20.28,44.28,72.68,48,0,17.69,1595534683
Dunedin,NZ,-45.87,170.5,42.01,72,75,4.0,1595534407
Buchanan,LR,5.88,-10.05,76.53,86,99,11.14,1595534683
Beringovskiy,RU,63.05,179.32,49.91,74,99,4.32,1595534683
Chara,RU,56.91,118.26,60.37,86,99,1.52,1595534684
Half Moon Bay,US,37.46,-122.43,73.0,60,5,13.87,1595534684
Jacareacanga,BR,-6.22,-57.75,95.0,39,97,6.93,1595534684
Puerto Madryn,AR,-42.77,-65.04,39.92,80,100,16.49,1595534684
Merano,IT,46.67,11.16,82.4,45,20,6.93,1595534684
Marfino,RU,55.7,37.38,57.0,66,0,4.47,1595534685
Syava,RU,58.01,46.32,55.63,96,100,5.37,1595534685
Ritchie,ZA,-29.04,24.6,42.8,33,0,2.24,1595534685
Berkåk,NO,62.83,10.01,53.01,76,35,5.01,1595534685
Mount Gambier,AU,-37.83,140.77,37.4,86,99,6.93,1595534686
College,US,64.86,-147.8,60.8,67,75,4.23,1595534686
Vidim,RU,56.41,103.11,52.16,82,23,2.04,1595534686
Timmins,CA,48.47,-81.33,78.8,34,75,4.76,1595534686
Malumfashi,NG,11.79,7.62,73.9,85,79,11.79,1595534686
Xingyi,CN,24.19,102.82,60.12,96,83,3.0,1595534621
Killarney,IE,52.05,-9.52,60.8,87,90,5.82,1595534687
Bhisho,ZA,-32.85,27.44,57.36,36,0,4.72,1595534687
Bay Roberts,CA,47.6,-53.26,72.0,59,100,1.01,1595534687
Kuril'sk,RU,45.23,147.88,56.8,94,100,5.1,1595534687
Karwar,IN,14.8,74.13,79.63,86,100,4.83,1595534591
Saurimo,AO,-9.66,20.39,63.66,30,0,5.1,1595534688
Auki,SB,-8.77,160.7,78.04,86,68,5.01,1595534688
Tigil',RU,57.8,158.67,55.62,78,0,3.49,1595534688
Kawalu,ID,-7.38,108.21,69.87,89,96,0.85,1595534688
Tegul'det,RU,57.31,88.17,44.82,97,3,5.03,1595534689
Yar-Sale,RU,66.83,70.83,48.09,74,80,8.3,1595534689
Curitibanos,BR,-27.28,-50.58,66.4,72,94,1.86,1595534429
Bhag,PK,29.04,67.82,102.06,28,0,6.82,1595534585
Toora-Khem,RU,52.47,96.11,49.26,76,0,1.54,1595534689
Steamboat Springs,US,40.48,-106.83,66.99,63,90,12.75,1595534690
Pitsunda,GE,43.16,40.34,75.2,73,0,6.71,1595534690
Maracaçumé,BR,-2.04,-45.96,82.06,78,97,2.66,1595534690
Shache,CN,38.42,77.24,75.24,21,8,7.05,1595534690
Meadow Lake,US,34.8,-106.54,88.0,44,75,5.82,1595534690
Alagir,RU,43.04,44.22,75.2,64,60,2.24,1595534691
Urgut,UZ,39.4,67.24,82.4,39,90,6.93,1595534691
Bubaque,GW,11.28,-15.83,81.16,84,100,19.86,1595534691
Pedersore,FI,63.65,22.68,55.0,93,75,8.05,1595534691
Iskateley,RU,67.68,53.15,66.18,71,0,12.84,1595534691
Chapais,CA,49.78,-74.85,75.2,41,20,6.93,1595534692
Kutum,SD,14.2,24.67,79.74,50,35,17.02,1595534692
Prainha,BR,-1.8,-53.48,90.52,48,23,5.61,1595534692
Severobaykal'sk,RU,55.65,109.32,51.67,84,17,2.06,1595534692
Kapit,MY,2.02,112.93,73.69,95,100,0.38,1595534693
Plettenberg Bay,ZA,-34.05,23.37,65.57,38,0,4.0,1595534693
Van Wert,US,40.87,-84.58,84.99,54,12,7.0,1595534693
Saint-Leu,RE,-21.15,55.28,66.2,68,40,19.46,1595534693
Eureka,US,40.8,-124.16,64.99,77,90,6.93,1595534693
Qingdao,CN,36.1,120.37,68.0,93,0,8.95,1595534694
Preston,GB,53.77,-2.72,60.8,93,75,9.17,1595534694
Naryan-Mar,RU,67.67,53.09,66.74,71,7,13.11,1595534694
Upington,ZA,-28.45,21.26,57.2,16,0,5.82,1595534694
Kibungo,RW,-2.16,30.54,69.8,60,20,5.82,1595534694
Aquiraz,BR,-3.9,-38.39,84.2,58,75,17.22,1595534695
Ambikāpur,IN,23.12,83.2,76.35,82,100,2.08,1595534695
Soto la Marina,MX,23.77,-98.22,96.01,56,99,10.0,1595534695
Tawao,MY,4.25,117.89,75.2,94,20,4.88,1595534695
Nkwerre,NG,5.76,7.11,71.65,96,99,5.08,1595534696
Sitrah,BH,26.15,50.62,96.8,60,0,6.93,1595534696
Daitari,IN,21.1,85.75,75.43,95,100,5.37,1595534696
Wau,SS,7.7,28.0,70.83,93,100,4.12,1595534697
Province of Trapani,IT,37.83,12.67,86.0,33,0,3.36,1595534697
Tura,IN,25.52,90.22,74.07,98,99,4.52,1595534697
Minot,US,48.23,-101.3,93.2,49,1,18.34,1595534535
Portland,US,45.52,-122.68,68.0,68,90,3.36,1595534509
Menongue,AO,-14.66,17.69,51.37,45,0,4.45,1595534698
Ekhabi,RU,53.51,142.97,48.24,92,38,1.45,1595534698
Bilma,NE,18.69,12.92,94.73,12,0,11.74,1595534566
Laas,IT,46.62,10.7,62.6,59,75,6.93,1595534698
Lompoc,US,34.64,-120.46,66.2,68,0,5.82,1595534606
Stirling,GB,56.12,-3.94,63.0,81,66,1.01,1595534699
Atambua,ID,-9.11,124.89,64.63,85,42,6.06,1595534699
Venado Tuerto,AR,-33.75,-61.97,50.0,73,100,18.99,1595534699
Sheregesh,RU,52.92,87.99,51.96,94,15,3.51,1595534700
Kodinsk,RU,58.69,99.18,50.05,87,62,2.39,1595534700
Kandrian,PG,-6.22,149.55,77.86,87,65,10.31,1595534700
Taltal,CL,-25.4,-70.48,58.1,54,0,6.42,1595534700
Nālūt,LY,30.33,10.85,81.61,16,0,10.94,1595534700
Durango,MX,24.83,-104.83,76.82,46,66,8.28,1595534566
Ahipara,NZ,-35.17,173.17,55.49,75,2,11.14,1595534701
Paamiut,GL,61.99,-49.67,47.12,94,100,6.51,1595534701
Caravelas,BR,-17.71,-39.25,73.71,74,32,5.91,1595534615
Piste,MX,20.7,-88.58,97.92,38,91,5.57,1595534702
Quatre Cocos,MU,-20.21,57.76,68.0,68,75,18.34,1595534702
Sestri Levante,IT,44.27,9.4,75.0,92,0,1.68,1595534702
Ocampo,MX,21.65,-101.5,75.38,34,45,9.71,1595534702
Dunmore Town,BS,25.5,-76.65,83.32,77,27,17.4,1595534703
Sri Aman,MY,1.24,111.46,73.4,100,100,0.29,1595534703
Contai,IN,21.78,87.75,81.73,86,100,7.72,1595534703
Dongsheng,CN,39.82,109.98,68.95,65,0,7.61,1595534704
Sungai Penuh,ID,-2.08,101.38,63.64,93,99,2.82,1595534704
Teknāf,BD,20.86,92.31,79.74,87,100,8.46,1595534704
Narnaul,IN,28.04,76.11,86.79,57,8,4.29,1595534704
Guangyuan,CN,32.44,105.82,70.0,92,99,2.82,1595534705
Joshīmath,IN,30.57,79.57,63.59,54,24,2.68,1595534705
Berlevåg,NO,70.86,29.09,51.8,93,90,2.24,1595534705
Kahului,US,20.89,-156.47,86.0,48,20,16.11,1595534610
Shaunavon,CA,49.65,-108.42,83.39,40,100,9.62,1595534656
